playerID,name,id,player_api_id,player_name,player_fifa_api_id,birthday,height,weight
560,Sergio Romero,9704,109060,Sergio Romero,173373,1987-02-22 00:00:00,193.04,192
557,Matteo Darmian,7159,46820,Matteo Darmian,184392,1989-12-02 00:00:00,182.88,154
548,Daley Blind,2028,161012,Daley Blind,190815,1990-03-09 00:00:00,180.34,159
628,Chris Smalling,1728,165823,Chris Smalling,189881,1989-11-22 00:00:00,193.04,198
1006,Luke Shaw,6432,362694,Luke Shaw,205988,1995-07-12 00:00:00,185.42,165
551,Morgan Schneiderlin,7692,46893,Morgan Schneiderlin,177358,1989-11-08 00:00:00,180.34,165
654,Michael Carrick,7340,34944,Michael Carrick,21146,1981-07-28 00:00:00,187.96,163
554,Juan Mata,5447,41468,Juan Mata,178088,1988-04-28 00:00:00,170.18,139
555,Memphis Depay,7317,303824,Memphis Depay,202556,1994-02-13 00:00:00,175.26,172
631,Ashley Young,1024,23354,Ashley Young,152908,1985-07-09 00:00:00,175.26,143
629,Wayne Rooney,10749,30829,Wayne Rooney,54050,1985-10-24 00:00:00,175.26,183
552,Ander Herrera,610,164676,Ander Herrera,191740,1989-08-14 00:00:00,182.88,161
627,Antonio Valencia,920,35327,Antonio Valencia,167905,1985-08-04 00:00:00,180.34,172
907,Bastian Schweinsteiger,1151,30872,Bastian Schweinsteiger,121944,1984-08-01 00:00:00,182.88,174
651,Michel Vorm,7442,37193,Michel Vorm,137677,1983-10-20 00:00:00,182.88,190
638,Kyle Walker,5953,159833,Kyle Walker,188377,1990-05-28 00:00:00,177.8,154
639,Toby Alderweireld,10359,160599,Toby Alderweireld,184087,1989-03-02 00:00:00,185.42,179
640,Jan Vertonghen,4648,37762,Jan Vertonghen,172871,1987-04-24 00:00:00,187.96,190
660,Ben Davies,1164,276121,Ben Davies,205923,1993-04-24 00:00:00,180.34,157
914,Nabil Bentaleb,7762,500520,Nabil Bentaleb,213296,1994-11-24 00:00:00,187.96,150
643,Eric Dier,3055,361315,Eric Dier,202335,1994-01-15 00:00:00,187.96,183
646,Christian Eriksen,1749,157723,Christian Eriksen,190460,1992-02-14 00:00:00,177.8,157
648,Nacer Chadli,7768,110189,Nacer Chadli,148581,1989-08-02 00:00:00,187.96,176
647,Harry Kane,4142,194165,Harry Kane,202126,1993-07-28 00:00:00,187.96,143
649,Ryan Mason,9350,160448,Ryan Mason,190683,1991-06-13 00:00:00,175.26,150
644,Erik Lamela,3078,174850,Erik Lamela,170368,1992-03-25 00:00:00,182.88,154
645,Dele Alli,2519,363333,Dele Alli,211117,1996-04-11 00:00:00,185.42,168
